sound_files,answer,first_time,second_time,third_time,fourth_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,10.139253907999773,None,space,0,2.6467047030000685,10.139253907999773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_27_1928,Trial_Exp,2021.2.3,59.98483115594381,
Audio/820.0.wav,lshift,4,8,12,6,0,0,0,0,,,,,,,,12.814138445000026,None,12.80463490799948,None,15.822410955999658,None,15.822425340000246,None,19.82383834800021,None,19.823686835000352,None,23.825075396999637,None,lshift,1,0.7454257560002588,24.80854747899957,None,23.82506465799988,None,25.57542913799989,None,25.57528265299961,None,,001,2021_Nov_27_1928,Trial_Exp,2021.2.3,59.98483115594381,
Audio/826.0.wav,lshift,5,9,13,10,0,1,1,1,,,,,,,,35.57835396399969,None,35.5782497879999,None,37.57835734299988,None,37.57850345899978,None,41.5798628069997,None,41.57969747699999,None,45.58106190000035,None,rshift,0,2.6773850850004237,46.56457835099991,None,45.58103494399975,None,49.26568011299969,None,49.26593665999999,None,,001,2021_Nov_27_1928,Trial_Exp,2021.2.3,59.98483115594381,
,,,,,,,,,,,,,,,,,58.26767407100033,None,58.267545667000284,None,64.26995739700033,None,64.27003138399951,None,68.27054411500012,None,68.27042846899977,None,72.27190364800026,None,lshift,1,0.19466098500015505,73.25529354300033,None,72.27189856800024,None,,,,,,,,,,,
