trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.148898278999695,None,10.148898278999695,None,1,[2.4184964259984554],[2.418499260998942],12.567253237999466,None,20.569853021999734,None,20.569853021999734,None,1,[3.0501570090000314],[3.0501592500004335],23.609160493999298,None,space,9.070144377999895,23.609160493999298,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_03_1942,Trial_Exp,2021.2.3,60.01488489208275,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,32.70645790099843,None,32.70630403669893,None,37.70753115699881,None,37.70768885069956,None,41.70896378799989,None,41.70893700069937,None,45.71028907499931,None,45.71040526869874,None,lshift,1,3.6170161769987317,45.71028907499931,None,49.34417190899876,None,49.34399646269922,None,1,001,2021_Dec_03_1942,Trial_Exp,2021.2.3,60.01488489208275,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,56.34651546199893,None,56.346574955699545,None,61.347967987998345,None,61.34805021969951,None,65.34853694099911,None,65.34851537669928,None,69.34983881699918,None,69.34982957169959,None,rshift,1,2.0574656660010078,69.34983881699918,None,71.43427631299892,None,71.43439073169938,72.43441709499893,1,001,2021_Dec_03_1942,Trial_Exp,2021.2.3,60.01488489208275,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,78.43586196199976,None,78.43627403669925,None,83.43736307299878,None,83.43722173169917,None,87.43880401799834,None,87.43874106670009,None,91.44000044599852,None,91.43984954969855,None,lshift,1,1.4953048820007098,91.44000044599852,None,92.95688405599867,None,92.95696960469976,93.95700263599974,1,001,2021_Dec_03_1942,Trial_Exp,2021.2.3,60.01488489208275,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,99.95858602499902,None,99.95861404770002,None,104.96009745299853,None,104.96005495969948,None,108.96134346399958,None,108.96132068269944,None,112.96258319299886,None,112.96241635969963,None,lshift,0,2.5007226100005937,112.96258319299886,None,115.49649194599988,None,115.49634973869942,116.49725921599929,1,001,2021_Dec_03_1942,Trial_Exp,2021.2.3,60.01488489208275,
