trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.53268462000051,None,space,0,14.782431591999739,10.53268462000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
0,0,0,0,,,,,,,,26.583891874000074,None,26.569297352496505,None,32.574512440000035,None,32.57004339899686,None,36.57549925600051,None,36.571220832996914,None,40.57757935999962,None,rshift,0,3.5444623180001145,41.586657003000255,None,40.57284822199745,None,46.14779067000018,None,46.1577132154971,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
1,0,1,0,,,,,,,,53.14651611699992,None,53.14231552099682,None,57.14736342299966,None,57.14383401499708,None,61.14885968599992,None,61.14489036899704,None,65.14989391400013,None,rshift,1,3.3791251840002587,66.14400067099996,None,65.14654552999673,None,70.53849849899962,None,70.53142177199697,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
2,0,2,0,,,,,,,,81.53917580300003,None,81.53432114099724,None,87.53928798900051,None,87.5356132509969,None,91.54068925899992,None,91.53717613499703,None,95.5420269870001,None,rshift,1,5.379100551999727,96.53601366899966,None,95.5384194349972,None,102.92932557299991,None,102.94046128149694,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
3,0,3,0,,,,,,,,113.93106994800019,None,113.92677591099618,None,119.93280063399925,None,119.9288187719967,None,123.9338719289999,None,123.93056308099676,None,127.93402845900073,None,rshift,0,2.0901542749998043,128.92897195999922,None,127.9306186249969,None,132.0368490030005,None,132.0320923809968,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
4,0,4,0,,,,,,,,139.03724229300042,None,139.03358463399763,None,145.04008736500055,None,145.03604983199784,None,149.03987878899989,None,149.03670069399686,None,153.04291302100046,None,lshift,1,0.924778384000092,154.05433878500025,None,153.03787496999666,None,155.9954460229992,None,156.00582183849747,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
5,0,5,0,,,,,,,,162.99560576100066,None,162.9907456439969,None,169.99871596200046,None,169.99478140899646,None,174.0140676000001,None,174.01052996699673,None,178.01577804300086,None,rshift,1,1.7766988490002404,179.01041661900035,None,178.0118202859967,None,181.80162765099976,None,181.79641580899715,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
6,0,6,0,,,,,,,,191.80286178699953,None,191.79945066299751,None,198.80443720399944,None,198.80103171399696,None,202.80597055599992,None,202.8024366599975,None,206.80724301300052,None,rshift,1,0.5937802540011035,207.80133553500036,None,206.8034937029979,None,209.41145060399958,None,209.40604831699693,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
7,0,7,0,,,,,,,,220.41304685900013,None,220.40781677799623,None,226.41392863500096,None,226.40945502799786,None,230.4138966090004,None,230.41075815599743,None,234.4152479609993,None,rshift,0,2.3056740679985523,235.40944357900025,None,234.41205205599636,None,238.73505246900004,None,238.72926400999768,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
8,0,8,0,,,,,,,,247.7354209670002,None,247.73180486999718,None,251.73649760100034,None,251.7332404359977,None,255.73796715200024,None,255.73461139099618,None,259.73995562899927,None,lshift,1,0.9733249439996143,260.73379060800016,None,259.73643408599764,None,262.72467446000064,None,262.7197416329973,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
9,0,9,0,,,,,,,,272.7260922409996,None,272.7224367889967,None,279.7285841710009,None,279.7249388989976,None,283.72872219500005,None,283.7256448329963,None,287.72973782200006,None,rshift,1,1.2061563839997689,288.7249619189997,None,287.7266046659979,None,290.9495806120003,None,290.9447670579966,None,1,001,2021_Dec_01_2047,Trial_Exp,2021.2.3,59.965138666762385,
,,,,,,,,,,,298.9521112249995,None,298.9465949159976,None,302.95171320200006,None,302.9479827599962,None,306.9530352089996,None,306.94922482999664,None,,,,,,,,,,,,,,,,,,,,
