sound_files,answer,first_time,second_time,third_time,fourth_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,9.571496356999887,None,space,0,4.3249227670003165,9.571496356999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/874.0.wav,rshift,6,10,14,8,0,0,0,9,,,,,,,,13.929864242999429,None,13.919375395199676,None,17.93794023800001,None,17.93794958019971,None,21.939259209999364,None,21.939139771199915,None,25.940506239999195,None,rshift,1,2.1723530110002685,27.92407513099988,None,25.940516383199974,None,30.125258453999777,None,30.125246287199115,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/832.0.wav,lshift,6,10,14,8,0,1,1,2,,,,,,,,36.12672876099987,None,36.126770609199596,None,40.12814122799955,None,40.12799347719938,None,44.12937667599999,None,44.12930228719979,None,48.12988213099925,None,lshift,1,1.5987298310001279,50.09770182699958,None,48.12988520919971,None,51.714580683999884,None,51.71441423319921,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/856.0.wav,rshift,6,10,14,6,0,2,2,6,,,,,,,,59.717041620999225,None,59.717086436199864,None,63.71758493999914,None,63.7175197822,None,67.71892108999964,None,67.71884413819971,None,71.72008802399978,None,rshift,1,0.01672125799996138,73.7037071449995,None,71.72009631319925,None,73.73722500099939,None,73.73706171419981,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/826.0.wav,lshift,5,9,13,10,0,3,3,1,,,,,,,,81.73981698199987,None,81.7398902481993,None,85.74102342899914,None,85.74098998119935,None,89.74233706999985,None,89.74232408219923,None,93.7429220289996,None,lshift,1,0.3938160030002109,95.71063948799929,None,93.74278646319927,None,96.12738984599946,None,96.1273352631999,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/850.0.wav,rshift,3,7,11,8,0,4,4,5,,,,,,,,106.13013743800002,None,106.13018268519973,None,111.13153879299989,None,111.13164694219923,None,115.13286267399963,None,115.1329453251994,None,119.13424654099981,None,rshift,1,2.3707064710006307,121.11772459399981,None,119.13422541319979,None,123.51812781199988,None,123.51819658619952,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/862.0.wav,rshift,5,9,13,10,0,5,5,7,,,,,,,,130.5205390479996,None,130.52055798919918,None,132.52085619199988,None,132.5207571041994,None,136.52221510899926,None,136.52212173119932,None,140.5234772369995,None,lshift,0,0.045390688000225055,142.50703698399957,None,140.52348875319984,None,142.5737710149997,None,142.57387690619925,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/838.0.wav,lshift,4,8,12,9,0,6,6,3,,,,,,,,149.57634481399964,None,149.5762859171993,None,153.57674859799954,None,153.57668149119962,None,157.5671728009993,None,157.57736686219977,None,161.57943104599963,None,lshift,1,1.8468540410003698,163.5455994289996,None,161.57931498919987,None,165.40311916499923,None,165.4132964611992,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/880.0.wav,rshift,4,8,12,6,0,7,7,10,,,,,,,,172.41577596099978,None,172.4157189781992,None,175.41683557999932,None,175.4168038111995,None,179.4182395609996,None,179.41808866119953,None,183.41870431499956,None,rshift,1,0.6300651960000323,185.38635886499924,None,183.41861869519943,None,186.03654920099962,None,186.03643696319995,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
Audio/844.0.wav,lshift,2,6,10,7,0,8,8,4,,,,,,,,194.03909236899926,None,194.03905640019929,None,197.03943434199937,None,197.03949417619987,None,201.04075832799936,None,201.04075339919945,None,205.04202423099923,None,rshift,0,0.6467521259992282,207.02569448399936,None,205.04248707519963,None,207.69245086699993,None,207.6923961741997,None,,001,2021_Nov_27_1913,Trial_Exp,2021.2.3,60.02792943467045,
,,,,,,,,,,,,,,,,,217.69533277499977,None,217.6953938341996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
