trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.369516491999093,None,9.369516491999093,None,1,[2.25283963199945],[2.252842566000254],11.623466311999437,None,19.626127769999584,None,19.626127769999584,None,1,[2.65097831499952],[2.6509804299985262],22.27646235999964,None,space,6.22054880900032,22.27646235999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_03_2006,Trial_Exp,2021.2.3,59.984059715729614,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,28.52509277900026,None,28.527422279000895,29.528904810000313,33.51788181200027,None,33.5288113599996,None,37.53079358099967,None,37.53081675800022,None,41.53219410699967,None,41.53209058200046,42.53227285399953,lshift,1,3.2848147000004246,41.53219410699967,None,44.84997627099983,None,44.85010814999951,None,1,001,2021_Dec_03_2006,Trial_Exp,2021.2.3,59.984059715729614,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,51.85168516699923,None,51.85180777300011,52.851759076000235,56.85317882600066,None,56.853298552999696,None,60.854618335999476,None,60.8545688579994,None,64.85581601999911,None,64.85585099599993,65.85591738900075,rshift,1,2.0411947310003598,64.85581601999911,None,66.92275753499962,None,66.9227261739994,67.92271687399989,1,001,2021_Dec_03_2006,Trial_Exp,2021.2.3,59.984059715729614,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,73.92506941300053,None,73.92524702500086,74.92527888699988,78.92670407100013,None,78.92673488799991,None,82.92717428499964,None,82.92712975399954,None,86.92839644000014,None,86.92843580400003,87.92856728200059,rshift,0,2.9606134970017592,86.92839644000014,None,89.91297800599932,None,89.91298062300083,90.91319240499979,1,001,2021_Dec_03_2006,Trial_Exp,2021.2.3,59.984059715729614,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,96.91465152899946,None,96.91467759299994,97.91484638700058,101.91613649099963,None,101.91622492099995,None,105.9173679079995,None,105.91752247000076,None,109.9187365910002,None,109.91874201400023,110.9187233699995,rshift,1,2.018271786000696,109.9187365910002,None,111.96929375699983,None,111.96907122199954,112.96905838900057,1,001,2021_Dec_03_2006,Trial_Exp,2021.2.3,59.984059715729614,
