trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.007924804999675,None,space,0,3.1481591370002207,8.007924804999675,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_2043,Trial_Exp,2021.2.3,59.493449803810705,
0,0,0,0,,,,,,,,12.432377883999834,None,12.432397252198825,None,17.423799060999954,None,17.43388462369876,None,21.425430434999726,None,21.434964610699353,None,25.426710183999603,None,rshift,0,3.0001113599992095,26.4199674879992,None,25.43649464469945,None,30.43030868400001,None,30.437928694698712,None,1,001,2021_Dec_01_2043,Trial_Exp,2021.2.3,59.493449803810705,
1,0,1,0,,,,,,,,37.43024107399924,None,37.43980112469944,None,40.43226303599931,None,40.440685262698935,None,44.43244603399944,None,44.44196043369902,None,48.432074680999904,None,rshift,1,1.1290615759999127,49.42702031099998,None,48.44255860369867,None,51.56956472899947,None,51.577383875698615,None,1,001,2021_Dec_01_2043,Trial_Exp,2021.2.3,59.493449803810705,
2,0,2,0,,,,,,,,62.57027909499993,None,62.58003126269887,None,67.57139286099937,None,67.58149519469862,None,71.57294787399951,None,71.5827128516994,None,75.57364669899926,None,rshift,1,1.0280039870003748,76.56807359599952,None,75.58413617469887,None,78.60964258299919,None,78.61807597769894,None,1,001,2021_Dec_01_2043,Trial_Exp,2021.2.3,59.493449803810705,
3,0,3,0,,,,,,,,86.61080874899926,None,86.62067211769863,None,90.61250460699921,None,90.6217535506994,None,94.61322638999991,None,94.62322331369887,None,98.61397992599996,None,rshift,0,0.5720044359995882,99.60808341899974,None,98.6245764646992,None,101.19972383299955,None,101.20843880969915,None,1,001,2021_Dec_01_2043,Trial_Exp,2021.2.3,59.493449803810705,
4,0,4,0,,,,,,,,112.20092786799978,None,112.211166644699,None,119.20408386399959,None,119.21362903069894,None,123.20444643999963,None,123.21416639169911,None,127.20620222399975,None,rshift,1,0.9870248150000407,128.20105481099927,None,127.21674556369908,None,130.20778744699965,None,130.2166399896987,None,1,001,2021_Dec_01_2043,Trial_Exp,2021.2.3,59.493449803810705,
,,,,,,,,,,,141.2106507439994,None,141.2197027056991,None,145.2108109689998,None,145.22086626169948,None,149.2116769459999,None,149.222208783699,None,,,,,,,,,,,,,,,,,,,,
