sound_files,answer,first_time,second_time,third_time,fourth_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,10.63562109600025,None,space,0,2.551703950999581,10.63562109600025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_27_1954,Trial_Exp,2021.2.3,59.99249122037891,
Audio/820.0.wav,z,4.0,8.0,12.0,6.0,0,0,0,0,,,,,,,,13.570434562001537,None,13.55139568140421,None,19.569620480000594,None,19.56964138140156,None,23.571027724001397,None,23.57098267340134,None,27.571447602000262,None,z,1,2.471563196999341,28.555749182,None,27.57159364440067,None,31.056200676001026,None,31.05610797140016,None,,001,2021_Nov_27_1954,Trial_Exp,2021.2.3,59.99249122037891,
Audio/826.0.wav,z,5.0,9.0,13.0,10.0,0,1,1,1,,,,,,,,39.05865013600123,None,39.058604105400626,None,45.06008821700016,None,45.060199031400224,None,49.06151938600124,None,49.06145541840069,None,53.06280047800101,None,z,1,2.277071526999862,54.04629599500004,None,53.06277068240106,None,56.3467280090008,None,56.346714305401655,None,,001,2021_Nov_27_1954,Trial_Exp,2021.2.3,59.99249122037891,
,,,,,,,,,,,,,,,,,64.34913987500113,None,64.34915204040172,None,66.34941920300116,None,66.34940406640035,None,70.35087631800161,None,70.3507939294008,None,74.35209620600108,None,right,0,2.035887920999812,75.33549376700103,None,74.35235471940123,None,,,,,,,,,,,
