trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon_6.started,polygon_6.stopped,sound_6.started,sound_6.stopped,polygon_7.started,polygon_7.stopped,sound_7.started,sound_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.994879990000072,None,11.994879990000072,None,1,[1.2287524240000494],[1.2287549180000497],13.225930850000168,None,space,0,1.6538121119999687,13.225930850000168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_02_1214,Trial_Exp,2021.2.3,59.95752045648586,
0,0,0,0,,,,,,,,,,,,,,,,,,,16.159445128000016,None,16.155260201201145,None,23.165581226000086,None,23.173392015701097,None,27.165378938000003,None,27.17468270870097,None,31.167155427000125,None,rshift,0,3.5843874249999317,32.159299261000115,None,31.176142027701076,None,36.75289020900004,None,36.76064882670096,None,,,,,,,,,,,,,,,,1,001,2021_Dec_02_1214,Trial_Exp,2021.2.3,59.95752045648586,
1,0,1,0,,,,,,,,,,,,,,,,,,,43.75238206200015,None,43.76158699970108,None,46.75604977100011,None,46.76531771370094,None,50.77283509600011,None,50.783277574700946,None,54.772540253000216,None,rshift,0,0.8094449679999798,55.76625721800019,None,54.78295555170109,None,57.59422212100003,None,57.59979549670095,None,,,,,,,,,,,,,,,,1,001,2021_Dec_02_1214,Trial_Exp,2021.2.3,59.95752045648586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.59429370300018,None,space,0,2.8693912530000034,66.59429370300018,None,,,,,,,,,1,001,2021_Dec_02_1214,Trial_Exp,2021.2.3,59.95752045648586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.73351943000011,None,70.73741475220118,None,73.72832008900014,None,73.7377022257009,None,,,,,,,
