trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.54039985199961,None,8.54039985199961,None,1,[5.97542895100014],[5.9754315400005],14.515887056999418,None,22.517773740999473,None,22.517773740999473,None,1,[13.872110864998831],[13.872113104998789],36.388531741000406,None,space,1.955723818999104,36.388531741000406,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_03_1939,Trial_Exp,2021.2.3,60.007343338637135,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,38.37304402100017,None,38.372945867499766,None,43.374465544000486,None,43.37437810850042,None,47.37487899000007,None,47.37481104550079,None,51.37614500500058,None,51.37607936549921,None,lshift,1,2.320113775000209,51.37614500500058,None,53.727420241999425,None,53.72733970150057,54.72753775199999,1,001,2021_Dec_03_1939,Trial_Exp,2021.2.3,60.007343338637135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,60.72907697499977,None,60.7289086815008,None,65.73041338099938,None,65.73040784349996,66.73063918799926,69.73166191199925,None,69.73181386849956,70.73181758200008,73.7330206229999,None,73.73307486449903,None,rshift,1,21.539252284001122,73.7330206229999,None,95.28907257799983,None,95.28934580149962,96.289048826,1,001,2021_Dec_03_1939,Trial_Exp,2021.2.3,60.007343338637135,
